similarity_mean,similarity_max,similarity_min,logical_mean,logical_max,logical_min,specificity,label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.88298345,0.9158021,0.81525534,0.3058823529411765,0.7,0.0,0.275,0
0.8992922,0.90307,0.89551437,0.2,0.2,0.2,0.35,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.93720907,0.93720907,0.93720907,1.0,1.0,1.0,0.6,0
0.94498104,0.94498104,0.94498104,1.0,1.0,1.0,0.6,0
0.94688046,0.9641563,0.9296046,0.85,1.0,0.7,0.45,0
0.92488325,0.9662975,0.8839599,0.775,0.9,0.7,0.42499999999999993,0
0.89958954,0.9006993,0.8984798,0.8500000000000001,0.9,0.8,0.6,0
0.92950654,0.9463988,0.91261435,0.8500000000000001,0.9,0.8,0.5,0
0.9007881,0.927743,0.8583469,0.5333333333333333,0.9,0.0,0.45,0
0.8831563,0.9026456,0.86366695,0.7,0.9,0.5,0.7,0
0.8678868,0.8907932,0.83563393,0.725,1.0,0.3,0.7999999999999999,0
0.82995725,0.83870417,0.81274337,0.6666666666666666,0.7,0.6,0.7666666666666666,0
0.90818805,0.9125713,0.9038048,0.7,0.7,0.7,0.5,0
0.91483474,0.9306063,0.89103276,0.7999999999999999,0.9,0.6,0.6333333333333333,0
0.88315016,0.93151057,0.8510677,0.5333333333333333,0.9,0.3,0.5,0
0.85720307,0.85720307,0.85720307,0.4,0.4,0.4,0.7,0
0.88582337,0.8956497,0.8759971,0.8,1.0,0.6,0.55,0
0.8351288,0.8351288,0.8351288,0.8,0.8,0.8,0.7,0
0.87595963,0.8960735,0.845716,0.7666666666666666,0.9,0.6,0.39999999999999997,0
0.91421384,0.9373103,0.8911174,0.7,0.7,0.7,0.55,0
0.9220512,0.92232484,0.9217776,0.75,0.8,0.7,0.45,0
0.8852019,0.9288922,0.8502342,0.6,0.6,0.6,0.3666666666666667,0
0.9239052,0.9239052,0.9239052,1.0,1.0,1.0,0.5,0
0.90701413,0.9361643,0.87786394,0.85,1.0,0.7,0.6499999999999999,0
0.92508435,0.94361484,0.9065539,0.8,0.9,0.7,0.6499999999999999,0
0.8674832,0.9068079,0.82973737,0.6666666666666666,0.7,0.6,0.5,0
0.8876746,0.90825635,0.8703686,0.7333333333333333,0.9,0.6,0.5,0
0.90011686,0.9207794,0.8885868,0.7999999999999999,0.9,0.6,0.6333333333333333,0
0.9038858,0.9044301,0.9033415,0.8,1.0,0.6,0.5,0
0.8603156,0.9276753,0.8079515,0.7,0.9,0.6,0.525,0
0.8593317,0.8593317,0.8593317,0.9,0.9,0.9,0.5,0
0.91503096,0.9491202,0.8659254,0.675,0.9,0.5,0.4,0
0.88574135,0.9497952,0.8129334,0.5333333333333333,1.0,0.3,0.4555555555555556,0
0.8775872,0.9315848,0.8490253,0.575,0.7,0.4,0.35000000000000003,0
0.8991577,0.90806144,0.8929437,0.5666666666666667,0.7,0.4,0.3,0
0.9180095,0.94622636,0.8831645,0.6,0.8,0.3,0.3333333333333333,0
0.89445615,0.91049415,0.87621135,0.6,0.8,0.3,0.35,0
0.8454247,0.8454247,0.8454247,0.8,0.8,0.8,0.5,0
0.91661924,0.91761637,0.9156221,1.0,1.0,1.0,0.6499999999999999,0
0.90077543,0.91686535,0.87654865,0.5,0.9,0.3,0.4666666666666666,0
0.89115226,0.9563171,0.8184802,0.5777777777777777,1.0,0.3,0.3625,0
0.9172008,0.9522385,0.87454695,0.6333333333333333,0.9,0.4,0.43333333333333335,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.8885939,0.89529234,0.88189554,0.6,0.7,0.5,0.45,0
0.9114936,0.92180485,0.90118235,0.7,0.7,0.7,0.4,0
0.90573907,0.90573907,0.90573907,0.9,0.9,0.9,0.6,0
0.8697675,0.8697675,0.8697675,1.0,1.0,1.0,0.4,0
0.86559796,0.89726484,0.82255495,0.4333333333333333,0.7,0.0,0.42000000000000004,0
0.86726856,0.9387384,0.8108616,0.6599999999999999,0.7,0.6,0.5,0
0.91218746,0.91774,0.90663487,0.7,0.7,0.7,0.5,0
0.92134106,0.92134106,0.92134106,0.9,0.9,0.9,0.5,0
0.92176926,0.92176926,0.92176926,0.9,0.9,0.9,0.5,0
0.94560766,0.948702,0.94086605,0.7249999999999999,0.8,0.6,0.475,0
0.8982746,0.8982746,0.8982746,1.0,1.0,1.0,0.7,0
0.9014597,0.94274575,0.8575166,0.4666666666666666,0.7,0.1,0.5166666666666666,0
0.86185116,0.922974,0.8249569,0.6833333333333332,0.9,0.3,0.44000000000000006,0
0.9117591,0.9117591,0.9117591,1.0,1.0,1.0,0.6,0
0.88880974,0.9473386,0.810183,0.5777777777777778,0.9,0.1,0.4375,0
